label_class,text,randnum
概念,你好怎样解释操纵证券、期货市场罪的概念是什么,0.014418744
特征,您好煽动分裂国家罪的要件是什么,0.015086078
法律条文,冒昧问一下脱逃罪有哪些法律规定,0.015258591
量刑标准,构成走私制毒物品罪既遂怎么量刑?,0.015720349
量刑标准,合伙销售公民信息罪既遂怎么量刑?,0.01648528
法律条文,河北省敲诈罪立案标准,0.016824342
从属,请问战时拒绝、逃避服役罪是哪种类型的罪名,0.01824407
量刑标准,请问侮辱国旗、国徽罪判多长时间,0.018675997
量刑标准,非法私藏弹药罪既遂最多判多少年?,0.018698659
量刑标准,你好请问非法采砂300万判多少年,0.018714746
其它,自首立功能减刑多少年,0.019224622
特征,"扰乱单位秩序罪的认定,有哪些规定",0.019269975
量刑标准,亲戚犯扒窃罪怎么处理,0.020196923
特征,请问内幕交易、泄露内幕信息罪的要件是什么,0.021205259
特征,强迫劳动罪的四个构成要件是什么?,0.021436649
量刑标准,非法买卖土地使用罪既遂怎么量刑?,0.021951574
法律条文,编造、故意传播虚假恐怖信息罪有哪些法条,0.023898791
量刑标准,中国刑法引诱卖淫罪既遂怎么量刑?,0.023957387
其它,盗窃未遂派出所会管吗,0.024448647
特征,您好破坏军婚罪的特征是什么,0.024567608
法律条文,中国刑法销售有毒食品罪怎么立案?,0.024703658
特征,为境外收买国家秘密罪的构成条件?,0.025080289
量刑标准,构成非法制造危险物质罪怎么量刑?,0.025499863
从属,问一下伪证罪是哪种犯罪类型,0.026481861
其它,死刑复核中有改判的吗,0.026559105
特征,容留他人吸毒罪的犯罪构成有哪些?,0.026617868
特征,生产假药罪的四个构成要件是什么?,0.027157674
法律条文,请问一下网络诈骗的法律规定有什么,0.027548998
量刑标准,操纵证券市场罪既遂法院怎么量刑?,0.028244161
其它,判缓刑外出打工担保人,0.028408024
量刑标准,犯了过失损坏电力设备罪怎么处罚?,0.030207504
量刑标准,法院对销售侵权复制品罪如何裁判?,0.032147218
量刑标准,隐匿财务会计报告罪既遂如何判刑?,0.032298429
量刑标准,涉嫌生产销售劣药罪既遂量刑处罚?,0.032600494
法律条文,骗取出口退税罪的刑事责任是什么?,0.032844784
量刑标准,遗弃武器装备罪既遂怎么处罚量刑?,0.033069005
量刑标准,未成年故意伤害罪量刑标准是怎样的,0.033301631
概念,解释解释盗窃罪的概念,0.03349826
量刑标准,失职造成珍贵文物损毁罪如何处罚?,0.033870831
法律条文,网上寻衅滋事行为的法律依据是什么,0.034208493
其它,定罪免处的条件是什么,0.034962211
其它,非法变卖财产认定条件,0.035164434
其它,误入配资骗局需要帮忙,0.035181274
量刑标准,侵犯人身权利罪判几年,0.035622877
其它,非法改装挂车后果如何,0.035905407
量刑标准,冒昧问一下徇私舞弊发售发票、抵扣税款、出口退税罪的量刑标准是什么,0.036619809
法律条文,盗窃河南省的立案标准,0.036838234
特征,您好非法制造、出售非法制造的用于骗取出口退税、抵扣税款发票罪有什么特征,0.037171784
特征,打扰问一下嫖宿幼女罪的要件是什么,0.037197949
特征,非法吸收公众存款罪有哪些特征,0.037288174
概念,请问解释一下投降罪定义,0.037665884
特征,构成执行裁定失职罪的条件有哪些?,0.037862229
特征,破坏性采矿罪的构成四要件有哪些?,0.038067892
量刑标准,非法经营罪量刑？,0.0381887
法律条文,投放危险物质罪刑事责任如何追究?,0.038497441
法律条文,构成生产有毒食品罪会怎么追究责任,0.039311338
其它,"交通肇事罪在哪里拘留,怎么规定的",0.039492547
量刑标准,非法批准征用土地罪会判多长时间?,0.040013901
从属,冒昧问一下非法生产、销售间谍专用器材罪是哪种类型的罪名,0.040206748
量刑标准,抢夺危险物质罪既遂量刑标准细分?,0.04025436
量刑标准,"金融犯罪判几年,法律是如何规定的",0.040399348
特征,"变造货币罪构成要件?,有哪些规定",0.040700678
量刑标准,中国对生产劣药罪既遂的量刑标准?,0.040992239
法律条文,行贿罪立案标准是什么,0.041712212
量刑标准,组织、领导传销活动罪具体量刑标准,0.042076616
概念,您好可以介绍非法低价出让国有土地使用权罪介绍,0.042474334
量刑标准,交通事故顶罪者怎么判,0.043089442
量刑标准,包庇毒品犯罪分子罪既遂怎么处罚?,0.043323046
量刑标准,脏款2万，本人取得一半，判多少年,0.044526465
量刑标准,"虚假破产罪量刑规定?,怎么规定的",0.04634525
法律条文,您好抢夺罪有什么法律依据,0.046880015
特征,构成强制猥亵罪需要满足什么条件?,0.047333987
量刑标准,招摇撞骗罪定刑标准?,0.04833712
其它,听证大会醉驾犯罪嫌疑人一般说什么,0.048592328
其它,未成年人和成年男友开房会被查房吗,0.048844443
法律条文,构成销售假药罪既遂会怎么追究责任,0.04893136
量刑标准,犯了遗弃武器装备罪既遂怎么处罚?,0.049139147
量刑标准,请问一下关于缓刑解除后还受限制吗,0.049648615
量刑标准,一般出售假币罪既遂是怎么量刑的?,0.04983911
法律条文,打扰问一下非法制造、出售非法制造的发票罪有哪些法条,0.050306315
法律条文,福建龙岩诈骗立案标准,0.05047607
量刑标准,"虚假广告罪如何判刑?,有哪些规定",0.050512414
特征,"诈骗罪法怎么认定,法律怎么规定的",0.051339211
量刑标准,广东诈骗金额量刑标准,0.051450208
量刑标准,合伙敲诈勒索怎样判刑,0.0519401
量刑标准,徇私舞弊抵扣税款罪会判多长时间?,0.052640201
量刑标准,"私藏枪支判判多久,法律怎么规定的",0.052741341
其它,应该怎样执行假释刑罚,0.053043879
量刑标准,盗窃枪支罪量刑标准是如何规定的?,0.053336652
其它,卖自己的银行卡犯法吗,0.053627173
量刑标准,强制猥亵罪怎么处罚?,0.054487461
其它,任意共同犯罪包括哪些,0.056312282
概念,挪用公款是行为犯罪吗,0.056546853
从属,请问引诱幼女卖淫罪的上级罪名是什么,0.056585867
量刑标准,中国对伪造企业债券罪的判刑标准?,0.057021678
其它,对方恶意对我注射药物,0.057341795
其它,"行贿受贿多少构成犯罪,有哪些规定",0.058531912
量刑标准,徇私舞弊不征税款罪既遂怎么量刑?,0.058756815
法律条文,请教一下非法持有毒品罪有哪些法条,0.059111059
量刑标准,团伙诈骗会没收财产吗,0.060067488
量刑标准,招摇撞骗罪判刑标准?,0.061177852
法律条文,我国刑法对销售假药罪的立案规定?,0.062617761
其它,假释和监外执行的区别,0.062979924
概念,解释一下非法持有、私藏枪支、弹药罪有什么定义？,0.06311043
量刑标准,你好，我想问一下强奸少妇怎样量刑,0.063553839
量刑标准,领导恐怖组织罪既遂法院怎么量刑?,0.063573527
量刑标准,强奸罪是怎样量刑的呢,0.063828032
量刑标准,中国新刑法过失致人重伤罪判几年?,0.063971423
量刑标准,伪造企业债券罪既遂法院会判多久?,0.064155404
法律条文,盗窃罪法条条律有哪些,0.06475983
量刑标准,入室盗窃罪量刑标准是如何规定的?,0.065069609
法律条文,什么标准下违规制造枪支罪才立案?,0.06603028
其它,受伤害经过简述怎么写,0.066403584
其它,缓刑期间还能判缓刑吗,0.066503576
特征,怎么样才会构成生产、销售劣药罪?,0.067343075
法律条文,引诱未成年人聚众淫乱罪立案标准?,0.067872867
量刑标准,犯了盗掘古墓罪既遂怎么量刑处罚?,0.067899949
其它,判处拘役能保外就医吗,0.067977623
概念,打扰问一下能否介绍一下教育设施重大安全事故罪的意思,0.068171434
其它,打伤人算故意杀人罪吗,0.068440609
量刑标准,为境外收买国家秘密罪既遂的处罚?,0.068467015
量刑标准,根据刑法规定挪用公款罪会判多久?,0.068803309
其它,"枪走火杀人有罪吗,具体规定有哪些",0.068964163
特征,采集血液事故罪需要哪些构成要件?,0.069243303
法律条文,山西省盗窃罪立案标准,0.070164938
概念,你好，麻烦问一下解释一下聚众冲击国家机关罪是啥？,0.070378213
其它,交通肇事罪三种不起诉,0.070431068
概念,冒昧问一下怎样解释非法使用窃听、窃照专用器材罪的概念,0.070634399
特征,铁路运营安全事故罪的主体与客体?,0.071461706
量刑标准,放火罪既遂如何处罚?,0.072127576
量刑标准,传播淫秽视频怎么处罚,0.072295007
量刑标准,背信运用受托财产罪法院会判多久?,0.072587564
概念,请问解释一下非法低价出让国有土地使用权罪是啥？,0.072915449
量刑标准,酒驾撞死人是怎样处罚,0.073284778
特征,您好暴力干涉婚姻自由罪的特征是什么,0.073410572
其它,醉酒驾车是过失犯罪吗,0.073643397
特征,逃避商检罪的四个构成要件是什么?,0.074771025
量刑标准,网络诈骗公司进行诈骗应该如何处罚,0.07478498
量刑标准,刑法对走私制毒物品罪的定罪标准?,0.075233383
量刑标准,犯罪嫌疑人电信诈骗被逮捕如何判刑,0.075306198
量刑标准,构成窝藏罪怎么量刑?,0.075712103
从属,抢劫枪支、弹药、爆炸物、危险物质罪属于哪类罪名,0.075759258
概念,不举报亲人犯包庇罪吗,0.075811742
量刑标准,非法携带爆炸物参加集会罪怎样判刑,0.076531915
量刑标准,诉讼代理人毁灭证据罪既遂怎么量刑,0.076606798
特征,问一下非法收购、运输盗伐、滥伐的林木罪有哪些特征,0.076995673
量刑标准,构成铁路运营安全事故罪怎么判刑?,0.077357223
量刑标准,招摇撞骗罪处罚标准是如何规定的?,0.07742171
其它,无期徒刑能保外就医吗,0.077646569
量刑标准,"盗窃罪自首怎么量刑的,有哪些规定",0.078445711
其它,"吸毒要坐牢吗？,法律的规定是什么",0.078895821
量刑标准,"抢银行怎么判刑,法律上有哪些规定",0.081747949
其它,监外执行能否折抵刑期,0.082259658
量刑标准,"串通投标罪量刑幅度?,怎么规定的",0.082546396
量刑标准,构成徇私舞弊少征税款罪怎么量刑?,0.082794453
量刑标准,"无意打碎文物会坐牢吗,怎么规定的",0.083937565
法律条文,请问动植物检疫徇私舞弊罪对应的法律依据有哪些,0.085554255
其它,"山上放火犯法吗,法律的规定是什么",0.086515262
其它,量刑的一般原则指什么,0.086810949
量刑标准,刑事妨害动物防疫罪怎么量刑处罚?,0.08778043
量刑标准,构成销售伪劣化肥罪既遂怎么处罚?,0.087902239
量刑标准,入室盗窃罪处罚标准是如何规定的?,0.090413589
其它,看守所探视时间是几点,0.090684221
法律条文,您好暴动越狱罪有什么法律依据,0.090795224
法律条文,故意毁坏财物罪中数额的确定具体是,0.09144488
从属,分裂国家罪属于什么罪,0.092002149
量刑标准,洗钱罪既遂如何量刑?,0.092254605
法律条文,山西省盗窃案立案标准,0.092394442
从属,冒昧问一下伪证罪属于哪类罪名,0.092508508
量刑标准,寻衅滋事轻微伤怎么判,0.092976784
法律条文,侵占罪吉林省立案标准,0.093598641
量刑标准,寻衅滋事会全部抓完吗,0.095145351
特征,"哪些行为会触犯盗窃罪,有哪些规定",0.095186152
量刑标准,敲诈勒索罪怎么处罚?,0.095667786
特征,决水罪的特征是什么,0.095687455
其它,微信被骗，怎么追回钱,0.09635059
量刑标准,抢夺国家机关公文罪会判多长时间?,0.09642354
量刑标准,票据诈骗罪判刑标准是如何规定的?,0.096789345
量刑标准,"伪造遗嘱判几年,法律是如何规定的",0.097454097
量刑标准,走私制毒物品罪的处罚标准是什么?,0.097883501
其它,无期徒刑关在什么地方,0.098352745
量刑标准,虚开抵扣税款发票罪处罚标准细分?,0.098454774
特征,生产伪劣种子罪构成要件具体规定?,0.099480299
其它,我开网店被骗1760,0.099699758
量刑标准,非法持有毒品罪既遂怎么定罪处罚?,0.100734214
量刑标准,"莆田醉驾怎么判,法律的规定是什么",0.101755348
特征,怎么样才构成变造国家机关印章罪?,0.102034943
从属,分裂国家罪属于什么罪,0.102482902
量刑标准,犯了非法买卖警用装备罪怎么判刑?,0.10287321
量刑标准,阻碍解救被绑架妇女罪的定罪量刑?,0.103030923
其它,刑事级别管辖什么意思,0.103440063
法律条文,黑龙江盗窃案立案标准,0.104074419
其它,聚众斗殴怎么才能缓刑,0.104282387
特征,团伙生产假药罪的犯罪构成有哪些?,0.104672239
其它,"轻伤刑事拘留多久,法律怎么规定的",0.104676772
量刑标准,容留他人吸毒量刑标准,0.104701578
量刑标准,构成销售伪劣农药罪既遂怎么判刑?,0.105367013
从属,请教一下阻碍军人执行职务罪属于哪种罪名,0.105634156
其它,软禁他人属于什么罪呢,0.105838788
特征,你好阻碍军人执行职务罪的四要件是什么,0.10602317
法律条文,最新挪用资金数额标准,0.106701361
法律条文,伙同诈骗罪的立案标准,0.106867487
量刑标准,故意杀人罪致死怎么判,0.108273579
法律条文,虚开抵扣税款发票罪最新立案标准?,0.108391464
法律条文,"抢劫立案需要什么证据,有哪些规定",0.108544374
其它,刑拘了一定会被判刑吗,0.108564713
其它,我妈妈有个朋友威胁她,0.108631255
法律条文,"诈骗罪报案后多久立案,怎么规定的",0.109408629
量刑标准,刑法对操纵证券市场罪的定罪标准?,0.110097045
其它,拐卖妇女是故意犯罪吗,0.11151236
其它,银行卡被他人使用洗钱,0.11170696
量刑标准,我国刑法对强迫交易罪的处罚规定?,0.112522134
量刑标准,贩毒达到多少会判死缓,0.112837775
量刑标准,包庇毒品犯罪分子罪既遂怎么量刑?,0.112846946
特征,过失泄露国家秘密罪的构成四要素?,0.114492424
量刑标准,法院对非法征用土地罪的裁量标准?,0.115049107
其它,职务犯罪都有哪些类型,0.117078121
从属,拒不执行判决、裁定罪属于哪类罪名,0.117092289
量刑标准,"醉驾逃逸怎么处罚,法律怎么规定的",0.117603011
其它,贿赂偷税构成什么罪名,0.118383847
量刑标准,"伪证罪怎么处罚,法律是如何规定的",0.118496245
量刑标准,武装叛乱、暴乱罪既遂一般判几年?,0.11959891
量刑标准,"贩毒7克会判多久,具体规定有哪些",0.119643175
从属,非法买卖制毒物品罪是哪个类别的罪名,0.119888904
法律条文,"诽谤罪的诉讼时效,具体规定有哪些",0.12019099
特征,"怎么样才算构成诈骗罪,怎么规定的",0.120214567
法律条文,冒昧问一下聚众阻碍解救被收买的妇女、儿童罪有哪些刑法条文,0.12064399
法律条文,帮信罪具体规定有哪些,0.120864575
量刑标准,非法供应血液事故罪既遂如何判刑?,0.121303099
从属,你好，麻烦问一下遗弃伤病军人罪是什么类型的罪名,0.121730493
量刑标准,中国对非法制造枪支罪的判刑标准?,0.122057514
其它,遭遇网络诈骗怎么办？,0.122440262
法律条文,你好关于敲诈勒索罪的立案标准规定,0.12285448
特征,非法采矿罪如何认定,0.123327519
特征,侵犯通信自由罪的犯罪构成是什么?,0.123747271
特征,"猥亵儿童罪构成要件?,有哪些规定",0.124264196
特征,投放危险物质罪的构成要件是什么?,0.124762084
量刑标准,交通肇事致死如何判刑,0.124971625
量刑标准,"医务人员受贿如何处罚,怎么规定的",0.125137254
量刑标准,持有、使用假币罪既遂怎样定罪处罚,0.125183681
量刑标准,包庇罪既遂的最新处罚标准是什么?,0.127078984
特征,抢夺国家机关证件罪的构成四要素?,0.127310962
概念,解释解释聚众冲击国家机关罪定义的意思,0.127555465
从属,问一下非法批准征用、占用土地罪是哪种犯罪类型,0.127829541
特征,徇私舞弊减刑、假释、暂予监外执行罪有哪些特征,0.128479767
法律条文,聚众斗殴喊人的需要负哪些法律责任,0.129058576
量刑标准,刑事走私贵重金属罪怎么量刑处罚?,0.129346491
从属,非法向外国人出售、赠送珍贵文物罪是哪种犯罪类型,0.129549091
法律条文,介绍诈骗罪的立案标准,0.12983843
概念,请问能否告知枉法仲裁罪是什么意思？,0.130098051
量刑标准,法院对交通肇事罪量刑的具体标准?,0.130413685
概念,可以问一下打击报复证人罪是啥意思,0.130972504
量刑标准,诽谤罪导致他人失业法院会怎么判刑,0.131997557
特征,为境外非法提供情报罪由哪些构成?,0.132170688
特征,故意伤害罪的认定标准是怎么规定的,0.132448588
量刑标准,交通肇事致死怎么处罚,0.132490957
量刑标准,利用邪教组织致人重伤罪如何判刑?,0.13361172
量刑标准,危险驾驶罪有什么后果,0.133783402
量刑标准,刑法的贪污罪怎么处罚,0.133938522
其它,怎样预防税务犯罪洗钱,0.134050018
量刑标准,吸收客户资金不入账罪能判多少年?,0.134172114
量刑标准,非法制造危险物质罪既遂处罚规定?,0.13465862
特征,怎么样才构成非法进行节育手术罪?,0.134756036
其它,网络输钱了，能退款吗,0.136531738
量刑标准,酒驾和醉驾的处罚区别,0.136883112
量刑标准,为境外剌探情报罪既遂法院如何判?,0.13713657
特征,你好，麻烦问一下冒充军人招摇撞骗罪有哪些特征,0.137367297
法律条文,协助组织卖淫罪有什么法条,0.137754907
量刑标准,开车撞伤人逃逸怎么判,0.138043807
其它,故意杀人未遂有赔偿吗,0.138051524
从属,问一下制作、复制、出版、贩卖、传播淫秽物品牟利罪属于什么犯罪类型,0.138054291
法律条文,抢夺枪支罪既遂刑事责任如何追究?,0.138197271
概念,您好想了解危险物品肇事罪的概念,0.138340178
其它,拘役期限已到不同意取保候审怎么办,0.139523198
法律条文,非法集会罪立案标准?,0.140560034
量刑标准,帮助犯罪分子逃避处罚罪判刑规定?,0.140587511
法律条文,你好虐待部属罪的相关法律规定是什么,0.140776811
特征,诉讼代理人毁灭证据罪怎么构成的?,0.142741085
法律条文,陕西诈骗罪的立案标准,0.142847071
其它,盗窃天然气拘留多少天,0.143179042
其它,多少数额在职务侵占罪构成数额巨大,0.143522477
量刑标准,我国刑法对危险驾驶罪的量刑规定?,0.144840112
法律条文,盗窃枪支罪可以追究什么刑事责任?,0.144905114
量刑标准,刑法对拒不执行判决罪的定罪标准?,0.145227027
量刑标准,转让金融机构批准文件罪怎么量刑?,0.145539018
其它,取保候审在全国通用吗,0.145622399
量刑标准,虐待罪既遂判刑标准?,0.146252596
从属,你好，麻烦问一下徇私舞弊减刑、假释、暂予监外执行罪是什么类别,0.146405034
概念,请问如何理解过失提供不合格武器装备、军事设施罪的概念,0.146605625
量刑标准,毒驾撞死两人怎么判刑,0.146609554
法律条文,诈骗罪浙江省立案标准,0.146682371
量刑标准,非法吸收公众存款罪业务员如何定罪,0.146829806
法律条文,冒昧问一下失火罪有什么法条,0.146956922
量刑标准,你好，麻烦问一下组织、领导、参加黑社会性质组织罪怎么判刑,0.147041725
量刑标准,我想咨询一下把人打流产了怎么判刑,0.147070625
法律条文,请教一下脱逃罪的法律依据是什么,0.148949234
量刑标准,盗窃罪20万会判多久,0.149108403
法律条文,容留卖淫罪既遂的刑事责任是什么?,0.151545414
其它,银行卡涉嫌网络赌博被冻结怎么解冻,0.151941318
法律条文,山东抢夺罪的立案标准,0.152165286
其它,未成年买了彩票怎么办,0.152314561
量刑标准,"刑事案件私了注意事项,怎么规定的",0.152757813
法律条文,"如何区分醉驾酒驾,具体规定有哪些",0.153884941
量刑标准,刑事肇事逃逸怎么处罚,0.154405481
其它,交通事故骗保怎么取证,0.15476447
其它,你好，问一下非法培训机构怎么处罚,0.155124901
法律条文,"职务犯罪风险包括什么,怎么规定的",0.155280476
量刑标准,危险物品肇事罪怎么判,0.156040142
其它,嫖娼未遂被诈骗钱财了,0.158316749
量刑标准,"保险诈骗怎么判刑,具体规定有哪些",0.158360568
量刑标准,一般打击报复证人罪是怎么判刑的?,0.158862851
其它,抗诉书是给同级法院吗,0.158918777
概念,您好解释一下过失致人重伤罪的概念,0.159011841
其它,从犯抢劫自首怎么判刑,0.159300828
量刑标准,我国刑法对盗窃弹药罪的处罚规定?,0.159394716
量刑标准,诈骗公司员工如何定罪,0.159457648
从属,请教一下武装叛乱、暴乱罪的一级罪名是,0.160348133
量刑标准,侵犯公民个人信息罪既遂量刑处罚?,0.160966661
从属,过失提供不合格武器装备、军事设施罪属于什么罪,0.161040334
法律条文,打扰问一下擅自出卖、转让军队房地产罪对应的法律规定有哪些,0.161220543
量刑标准,引发森林火灾如何处罚,0.161590124
从属,请教一下非法向外国人出售、赠送珍贵文物罪是哪种犯罪类型,0.161591198
法律条文,抢劫案如何才可以立案,0.161977481
其它,故意伤害能否进行自诉,0.162578724
其它,刑事案件请律师多少钱,0.163076972
量刑标准,请教一下贪污罪的刑期是多久,0.16390124
量刑标准,国有企业人员失职罪会判多长时间?,0.164258952
其它,刑事案件法院受理后要审查哪些内容,0.164639292
其它,车祸致人死亡会判刑吗,0.164791642
其它,杀人未遂算暴力犯罪吗,0.165270734
量刑标准,串通损害商业声誉罪既遂量刑幅度?,0.165316934
量刑标准,请教一下扰乱无线电通讯管理秩序罪怎么判刑,0.165322775
其它,"行为犯和结果犯的区别,有哪些规定",0.166497983
法律条文,你好，麻烦问一下战时造谣扰乱军心罪的相关法律规定是什么,0.167304393
特征,请教一下组织播放淫秽音像制品罪的四要件是什么,0.168352743
法律条文,冒昧问一下开设赌场罪有什么刑法条文,0.168660893
量刑标准,中国刑法非法拘禁罪既遂怎么量刑?,0.168868515
量刑标准,盗窃国家机关公文罪既遂处罚规定?,0.169154027
量刑标准,"索债型非法拘禁判几年,怎么规定的",0.169220842
特征,哪些要求会构成伪造人民团体印章罪,0.169265652
法律条文,非法集会、游行、示威罪有哪些法律规定,0.16945702
从属,教育设施重大安全事故罪是哪种犯罪类型,0.169752844
概念,你好解释一下执行判决、裁定失职罪定义,0.169885932
概念,法律上什么是票据犯罪,0.170271811
其它,卖淫组织者是指什么？,0.170633312
法律条文,传染病菌种、毒种扩散罪立案标准?,0.171060101
其它,抢方向可以适用缓刑吗,0.171063989
量刑标准,战时残害居民罪量刑最新法律规定?,0.171098527
量刑标准,预备强奸却临时改行抢劫该如何定罪,0.172011798
特征,"诽谤罪构成条件有哪些,怎么规定的",0.17222029
量刑标准,内幕交易罪量刑处罚?,0.172424544
法律条文,资助恐怖活动罪有哪些法律依据,0.172470276
其它,砸车玻璃盗窃怎样判刑,0.172479759
量刑标准,非法经营罪当事人死亡会判决处罚吗,0.172983587
量刑标准,聚众冲击国家机关罪具体量刑标准?,0.173410174
量刑标准,"酒后交通肇事怎么量刑,有哪些规定",0.174040737
其它,"基准刑是什么意思,具体规定有哪些",0.175954876
量刑标准,妨害动植物防疫、检疫罪量刑规定?,0.177198856
其它,您好，我问一下认罪认罚会上法院吗,0.177797131
量刑标准,偷窃罪既遂量刑幅度?,0.177818218
概念,你好能否告知劫持航空器罪是啥？,0.178727354
其它,刑事拘留委托律师可以见到当事人吗,0.181220402
其它,主动供述自己的罪行应符合哪些情况,0.181238643
其它,被勒索多少钱可以报警,0.182487366
其它,判缓人员可以坐飞机吗,0.182816634
其它,微信组织赌博怎么举报,0.182943507
概念,"哪些行为属于寻衅滋事,有哪些规定",0.184304272
量刑标准,金融工作人员购买假币罪量刑标准?,0.184478372
特征,传授犯罪方法罪的特征是什么,0.184632285
量刑标准,性侵被拐卖妇女怎么判刑以及判几年,0.184736996
从属,你好，麻烦问一下徇私枉法罪是哪个类别的罪名,0.184947902
量刑标准,伪造公司债券罪既遂量刑标准细分?,0.185332024
概念,冒昧问一下解释一下假冒专利罪是啥？,0.185787449
量刑标准,绑架罪既遂判刑规定?,0.185914214
量刑标准,破坏广播电视设施罪具体量刑标准?,0.187905686
其它,共同犯罪主犯怎样量刑,0.188535267
量刑标准,非法批准征收土地罪既遂量刑规定?,0.188703334
法律条文,销售假药多少金额定罪,0.189586676
量刑标准,非法持枪罪的量刑标准具体是怎样的,0.19009353
特征,变造股票债券罪需要哪些犯罪构成?,0.190286605
从属,问一下招收公务员、学生徇私舞弊罪是什么类型的罪名,0.19097215
量刑标准,"入室盗窃如何判刑,具体规定有哪些",0.191783736
量刑标准,中国对污染环境罪既遂的量刑标准?,0.192193471
概念,你好，麻烦问一下叛逃罪定义的意思,0.193570947
量刑标准,我国刑法对失火罪既遂的量刑规定?,0.193640756
量刑标准,操纵证券期货市场罪量刑标准是什么,0.194026034
其它,涉嫌合同诈骗最终后果,0.194354573
其它,重伤二级和解能撤案吗,0.194790769
从属,问一下受贿罪是哪种类型的罪名,0.195082229
量刑标准,新刑法滥用管理公司职权罪怎么判?,0.195648224
法律条文,重庆诈骗金额立案标准,0.197568083
特征,如何构成违法提供出口退税凭证罪?,0.197903404
其它,有谅解书还会判刑吗？,0.198004116
量刑标准,男人强奸未成年少女并有一子判几年,0.20015869
其它,诈骗犯还钱了还坐牢吗,0.200301659
其它,故意撞酒驾碰瓷什么罪,0.20074158
量刑标准,非法处置财产的财产量刑标准是什么,0.200986148
量刑标准,我国刑法对走私文物罪的量刑规定?,0.201988855
量刑标准,组织卖淫罪量刑标准?,0.20287805
量刑标准,中国刑法伪造身份证件罪怎么量刑?,0.202964312
量刑标准,巨额财产来源不明罪法院会判多久?,0.203418993
法律条文,浙江非法经营立案标准,0.203836002
量刑标准,构成洗钱罪怎么量刑?,0.204009542
其它,我今年14岁被性侵了,0.204092387
量刑标准,一般武装暴乱罪既遂是怎么量刑的?,0.204327742
法律条文,集资诈骗数额具体达到多少构成犯罪,0.205052497
法律条文,请问打击报复证人罪有什么刑法条文,0.205187869
特征,生产有害食品罪构成?,0.205559195
其它,三年以上怎么争取缓刑,0.205827507
量刑标准,一般抢夺枪支罪既遂是怎么判刑的?,0.207209516
量刑标准,非法经营烟草罪如何罚,0.207294176
特征,什么是投放危险物质罪的构成要件?,0.207595392
法律条文,请教一下放纵走私罪有什么相关法律规定,0.207714641
法律条文,行贿罪既遂会被追究什么刑事责任?,0.207738433
从属,请教一下丢失枪支不报罪属于哪类罪名,0.20801125
法律条文,聚众斗殴受害者判刑吗,0.208892439
量刑标准,三有保护动物量刑标准,0.209076453
量刑标准,保险诈骗罪既遂法院一般怎么判刑?,0.209313266
从属,请教一下伪造、变造金融票证罪的一级罪名是,0.209943609
特征,"怎样才构成单位行贿罪,有哪些规定",0.209964208
其它,侵占罪由哪个法院管辖,0.210013488
量刑标准,一般倒卖文物罪既遂是怎么量刑的?,0.210851819
概念,你好想了解执行判决、裁定滥用职权罪介绍,0.21380738
其它,刑事案件立案侦查终结后会怎么处理,0.214809377
量刑标准,犯了为境外窃取情报罪一般怎么判?,0.215562122
其它,扫码被骗了钱要怎么办,0.216113001
从属,您好持有、使用假币罪是哪种犯罪类型,0.216513825
法律条文,诈骗罪的立案标准山西,0.21653309
